# Linear search time vs Binary search time (in sorted array and in milliseconds)
# Array size        Linear          Binary
50        0.000427        0.000176
5050        0.00892        0.000248
10050        0.017292        0.0002
15050        0.026745        0.000151
20050        0.035493        0.000175
25050        0.044368        0.000166
30050        0.058716        0.000239
35050        0.062415        0.000199
40050        0.070989        0.000183
45050        0.076388        0.000168
50050        0.074072        0.000128
55050        0.081712        0.000124
60050        0.088537        0.000126
65050        0.095222        0.000261
70050        0.102958        0.000165
75050        0.109658        0.000152
80050        0.127822        0.000236
85050        0.128555        0.000267
90050        0.132115        0.000227
95050        0.140619        0.000133
100050        0.152977        0.000132
105050        0.158972        0.000129
110050        0.16296        0.000271
115050        0.171598        0.000222
120050        0.186124        0.000143
125050        0.1913        0.000141
130050        0.193959        0.000132
135050        0.202643        0.000276
140050        0.212452        0.000233
145050        0.219057        0.000161
150050        0.231292        0.000154
155050        0.236201        0.000161
160050        0.245795        0.00036
165050        0.252397        0.000247
170050        0.252443        0.000236
175050        0.263473        0.000227
180050        0.27629        0.000227
185050        0.273543        0.000169
190050        0.281096        0.000134
195050        0.289777        0.000229
200050        0.29756        0.000143
205050        0.301129        0.000142
210050        0.313335        0.000224
215050        0.319399        0.000132
220050        0.326039        0.00015
225050        0.34034        0.000232
230050        0.350154        0.000172
235050        0.361039        0.000149
240050        0.369746        0.000232
245050        0.375825        0.000139
250050        0.398141        0.000275
255050        0.383225        0.000139
260050        0.384773        0.000154
265050        0.406129        0.000293
270050        0.414294        0.000183
275050        0.442273        0.000253
280050        0.417315        0.000176
285050        0.419536        0.000238
290050        0.425068        0.000159
295050        0.430658        0.000161
300050        0.490611        0.00031
