# Linear search time vs Binary search time (in unsorted array and in milliseconds)
# Array size        Linear          Binary
50        0.000298        0.007904
5050        0.007067        0.974943
10050        0.014323        2.05795
15050        0.021876        3.23251
20050        0.029235        4.54702
25050        0.036483        5.78075
30050        0.044042        6.97378
35050        0.050907        8.22009
40050        0.056917        9.85146
45050        0.06392        10.9207
50050        0.08572        12.36
55050        0.095839        13.5972
60050        0.103135        14.2754
65050        0.112687        16.3303
70050        0.124219        17.6191
75050        0.118928        19.1971
80050        0.13676        20.2004
85050        0.145253        21.4025
90050        0.154226        23.5831
95050        0.159392        24.3926
100050        0.151514        25.3601
105050        0.186531        27.042
110050        0.179016        28.5138
115050        0.196352        30.0615
120050        0.197703        30.3984
125050        0.192501        32.2058
130050        0.216569        33.2544
135050        0.22094        35.1658
140050        0.240015        37.6613
145050        0.241983        38.6995
150050        0.260454        39.7718
155050        0.253315        43.9724
160050        0.24367        45.0848
165050        0.312093        46.8891
170050        0.263827        46.8039
175050        0.271997        51.7312
180050        0.272887        48.3434
185050        0.571421        49.662
190050        0.272439        51.6562
195050        0.275958        52.4034
200050        0.283681        57.6499
205050        0.290149        63.3769
210050        0.30681        58.3796
215050        0.306854        58.0299
220050        0.310812        60.4352
225050        0.318268        61.2657
230050        0.341074        62.5977
235050        0.332262        64.1317
240050        0.34014        67.0023
245050        0.348119        67.0821
250050        0.391704        69.1389
255050        0.408058        72.0058
260050        0.367559        72.1191
265050        0.373005        72.5987
270050        0.384093        74.7872
275050        0.389822        76.6707
280050        0.395984        79.2008
285050        0.40577        80.0651
290050        0.411181        80.9306
295050        0.434987        82.542
300050        0.455106        83.289
